SWS,
16,
10,
0.0,
0.17,2.000
0.67,2.268
0.82,1.500
0.97,2.000
1.17,4.010
1.42,2.536
1.67,2.536
1.92,2.804
2.17,3.340
2.37,9.370
27,
20.0,0
0.25,2.804
0.5,5.216
0.75,2.670
1,5.216
1.25,3.340
1.5,2.804
1.75,2.804
2,3.072
2.25,4.144
2.5,4.278
2.52,2.000
2.75,3.020
3,3.876
3.25,3.206
3.5,4.144
3.75,8.030
4,4.680
4.25,7.360
4.5,4.680
4.75,2.938
5,2.000
5.25,2.000
5.27,2.000
5.5,2.583
5.52,1.500
5.75,3.457
6,3.608
32,
22.0,0.000
0.16,1.5
0.5,2
0.75,2
1,3.474
1.25,3.34
1.5,2.804
1.75,3.072
2,2.804
2.25,2.536
2.5,2.938
2.75,2.804
3,2.938
3.28,2.239285714
3.5,3.675
3.75,3.34
4,3.742
4.25,3.206
4.5,4.546
4.75,2.67
5,3.072
5.25,2.938
5.5,2.268
5.7,1
5.75,2
6,2.938
6.25,3.34
6.5,2.804
6.75,2.804
7,3.608
7.25,3.876
7.5,3.876
7.75,5.886
35,
24.0,0
0.25,2.268
0.5,2.938
0.75,3.072
1,2.804
1.25,2.67
1.5,2.804
1.75,2.804
2,2.938
2.25,2.804
2.5,2.804
2.75,3.34
3,3.34
3.25,2.804
3.5,4.68
3.75,4.68
4,4.68
4.25,4.01
4.5,3.005
4.75,2.319047619
5,5.76875
5.25,2.528947368
5.5,2.8375
5.75,2.804
6,3.206
6.25,2.693103448
6.5,3.276190476
6.75,3.617241379
7,3.116666667
7.25,2
7.5,6.094444444
7.75,5.886
8,4.68
8.25,9.816666667
8.5,11.16842105
8.75,10.93333333
21,
28.0,0
0.14,1.5
0.25,2.609090909
0.5,2.536
0.75,1.5
0.79,1.5
0.83,2
1,2.788235294
1.25,2.536
1.5,2.804
1.75,2.67
2,2.67
2.25,2.536
2.32,2
2.57,2.536
2.82,2.804
3.07,3.072
3.32,4.01
3.57,4.68
3.82,2.938
4.07,3.34
4.21,3.435714286
17,
32.0,0
0.13,1.5
0.25,2.558333333
0.5,2.804
0.75,3.072
1,3.072
1.1,2
1.25,2.67
1.5,2.804
1.55,2
1.75,2.8375
2,2.67
2.25,3.34
2.42,2
2.5,2.8375
2.75,3.072
3,6.288
3.13,6.638461538
15,
36.0,0
0.14,2
0.25,3.218181818
0.5,2.938
0.54,2
0.75,2.957142857
1,2.938
1.25,2.804
1.5,2.804
1.75,3.072
2,3.876
2.25,2.938
2.5,3.34
2.59,1.5
2.6,2
2.75,3.34
13,
40.0,0
0.1,2
0.25,2.67
0.5,3.206
0.75,2.67
1,3.206
1.25,3.206
1.5,2.67
1.75,2.536
2,3.206
2.25,3.072
2.5,4.412
2.75,3.608
3,5.216
26,
44.0,0
0.19,2
0.25,7.025
0.5,3.34
0.51,1.5
0.75,3.25625
1,3.608
1.25,6.556
1.5,3.608
1.75,3.072
2,2.938
2.25,3.742
2.5,4.948
2.75,3.34
3,6.958
3.25,5.216
3.5,3.474
3.75,3.608
4,3.34
4.43,2
4.5,6.785714286
4.75,3.876
5,2.536
5.25,5.484
5.5,4.68
5.75,3.072
5.79,5.35
19,
48.0,0
0.1,1
0.25,2.67
0.5,2.67
0.75,2.804
1,4.412
1.25,4.412
1.5,4.144
1.75,3.072
2,2.804
2.25,2.804
2.5,4.68
2.75,3.876
3,5.082
3.25,3.34
3.5,4.68
3.56,2
3.75,3.763157895
4,3.072
4.23,2.873913043
15,
52.0,0
0.25,2.536
0.5,2.804
0.75,2.804
1,3.474
1.25,3.072
1.5,2.804
1.75,2.67
2,2.67
2.25,2.804
2.5,4.278
2.75,3.072
3,6.824
3.25,6.824
3.5,4.412
3.66,3.675
15,
56.0,0
0.17,2
0.25,2.8375
0.5,3.206
0.75,3.072
1,2.804
1.25,2
1.5,2.536
1.93,2.46744186
2,2.957142857
2.25,2.804
2.5,4.68
2.75,4.948
3,8.432
3.25,4.144
3.5,4.814
22,
60.0,0
0.1,2
0.25,2.67
0.5,2.67
0.75,2.67
1,2.804
1.06,2
1.25,2.528947368
1.5,2.804
1.75,2.67
1.92,2
2,2.8375
2.25,2.804
2.5,4.948
2.75,5.484
3,9.638
3.25,4.948
3.5,5.484
3.75,4.546
4,4.546
4.25,8.566
4.5,2.268
4.54,2
11,
80.0,0
0.2,2
0.25,2.67
0.5,3.072
0.75,2.402
1,3.742
1.25,2.938
1.5,2.938
1.75,3.206
2,3.876
2.25,3.876
2.5,3.072
8,
100.0,0
0.15,1.5
0.45,1.723333333
0.5,2.84
0.57,1.5
0.63,2
0.75,2.558333333
1,2.938
1.25,3.072
4,
116.0,0
0.2,2
0.25,3.34
0.5,2.536
0.72,2
